"price","desc","loc"
"Rp 240.000.000","2 KT - 1 KM - 30 m2","Mampang Prapatan, Jakarta Selatan"
"Rp 18.000.000.000","4 KT - 3 KM - 900 m2","Cilandak, Jakarta Selatan"
"Rp 240.000.000","2 KT - 1 KM - 30 m2","Pasar Minggu, Jakarta Selatan"
"Rp 853.000.780","3 KT - 2 KM - 72 m2","Cilandak, Jakarta Selatan"
"Rp 3.300.000.000","3 KT - 3 KM - 100 m2","Palmerah, Jakarta Barat"
"","4 KT - 4 KM - 350 m2","Kembangan, Jakarta Barat"
"Rp 600.000.000","2 KT - 1 KM - 40 m2","Kembangan, Jakarta Barat"
"Rp 2.200.000.000","5 KT - 5 KM - 180 m2","Cilangkap, Jakarta Timur"
"Rp 860.000.000","3 KT - 2 KM - 80 m2","Cibubur, Jakarta Timur"
"Rp 7.500.000.000","5 KT - 4 KM - 425 m2","Pulo Gadung, Jakarta Timur"
"Rp 3.500.000.000","5 KT - 3 KM - 204 m2","Grogol Petamburan, Jakarta Barat"
"Rp 1.400.000.000","3 KT - 2 KM - 90 m2","Duren Sawit, Jakarta Timur"
"Rp 3.400.000.000","4 KT - 4 KM - 300 m2","Duren Sawit, Jakarta Timur"
"Rp 1.400.000.000","4 KT - 2 KM - 102 m2","Tanjung Priok, Jakarta Utara"
"Rp 5.300.000.000","5 KT - 6 KM - 350 m2","Kebayoran Baru, Jakarta Selatan"
"Rp 2.000.000.000","4 KT - 2 KM - 110 m2","Duren Sawit, Jakarta Timur"
"Rp 648.548.857","3 KT - 2 KM - 86 m2","Jagakarsa, Jakarta Selatan"
"Rp 900.000.000","3 KT - 3 KM - 68 m2","Tebet, Jakarta Selatan"
"Rp 1.400.000.001","3 KT - 3 KM - 71 m2","Mampang Prapatan, Jakarta Selatan"
"Rp 900.000.000","3 KT - 3 KM - 68 m2","Pasar Baru, Jakarta Pusat"
"Rp 689.000.888","2 KT - 1 KM - 43 m2","Cilandak, Jakarta Selatan"
"Rp 550.000.000","2 KT - 1 KM - 45 m2","Cipayung, Jakarta Timur"
"Rp 945.000.088","3 KT - 2 KM - 100 m2","Cilandak, Jakarta Selatan"
"Rp 1.950.000.000","5 KT - 4 KM - 110 m2","Kebayoran Baru, Jakarta Selatan"
"Rp 1.850.000.000","3 KT - 3 KM - 120 m2","Kebayoran Baru, Jakarta Selatan"
"Rp 115.000.000","3 KT - 2 KM - 88 m2","Cakung, Jakarta Timur"
"Rp 967.000.000","2 KT - 2 KM - 68 m2","Cilandak, Jakarta Selatan"
"Rp 818.000.000","2 KT - 2 KM - 60 m2","Matraman, Jakarta Timur"
"Rp 451.000.000","2 KT - 2 KM - 39 m2","Tanjung Priok, Jakarta Utara"
