"price","desc","loc"
"Rp 3.500.000.000","4 KT - 4 KM - 185 m2","Kembangan, Jakarta Barat"
"Rp 3.900.000.000","4 KT - 3 KM - 360 m2","Cakung, Jakarta Timur"
"Rp 1.650.000.000","3 KT - 2 KM - 80 m2","Kelapa Gading, Jakarta Utara"
"Rp 3.800.000.000","4 KT - 4 KM - 300 m2","Pulo Gadung, Jakarta Timur"
"Rp 1.250.000.000","3 KT - 1 KM - 75 m2","Pesanggrahan, Jakarta Selatan"
"Rp 1.100.000.000","7 KT - 3 KM - 120 m2","Tanjung Priok, Jakarta Utara"
"Rp 52.000.000","6 KT - 4 KM - 500 m2","Senen, Jakarta Pusat"
"Rp 3.650.000.000","5 KT - 4 KM - 192 m2","Kembangan, Jakarta Barat"
"Rp 650.000.000","1 KT - 1 KM - 86 m2","Tanjung Priok, Jakarta Utara"
"Rp 4.500.000.000","3 KT - 2 KM - 200 m2","Senen, Jakarta Pusat"
"Rp 2.010.000.000","3 KT - 3 KM - 90 m2","Cakung, Jakarta Timur"
"Rp 1.200.000.000","3 KT - 1 KM - 120 m2","Jatinegara, Jakarta Timur"
"Rp 1.800.000.000","3 KT - 3 KM - 200 m2","Kebayoran Baru, Jakarta Selatan"
"Rp 90.000.000.000","6 KT - 2 KM - 10995 m2","Kebayoran Baru, Jakarta Selatan"
"Rp 10.500.000.000","3 KT - 3 KM - 200 m2","Jagakarsa, Jakarta Selatan"
"Rp 1.920.000.000","4 KT - 3 KM - 60 m2","Pesanggrahan, Jakarta Selatan"
"Rp 1.100.000.000","3 KT - 3 KM - 135 m2","Cibubur, Jakarta Timur"
"Rp 179.000.000","2 KT - 1 KM - 29 m2","Pulo Gadung, Jakarta Timur"
"Rp 3.435.300.000","6 KT - 4 KM - 177 m2","Ciracas, Jakarta Timur"
"Rp 3.000.000.000","5 KT - 4 KM - 200 m2","Cibubur, Jakarta Timur"
"Rp 1.500.000.000","3 KT - 2 KM - 94 m2","Kemang, Jakarta Selatan"
"Rp 8.000.000.000","5 KT - 2 KM - 180 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 10.500.000.000","3 KT - 3 KM - 200 m2","Tebet, Jakarta Selatan"
"Rp 465.000.000","8 KT - 2 KM - 120 m2","Sawah Besar, Jakarta Pusat"
"Rp 850.000.000","2 KT - 1 KM - 50 m2","Kebon Jeruk, Jakarta Barat"
"Rp 680","3 KT - 1 KM - 63 m2","Duren Sawit, Jakarta Timur"
"Rp 750.000.000","3 KT - 2 KM - 84 m2","Tomang, Jakarta Barat"
"Rp 3.600.000.000","4 KT - 3 KM - 152 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 10.000.000.000","5 KT - 3 KM - 210 m2","Cilandak, Jakarta Selatan"
"Rp 9.000.000.000","6 KT - 6 KM - 500 m2","Grogol Petamburan, Jakarta Barat"
"Rp 1.000.000.000","2 KT - 1 KM - 43 m2","Menteng, Jakarta Pusat"
"Rp 800.000.000","3 KT - 2 KM - 150 m2","Sawah Besar, Jakarta Pusat"
"Rp 2.000.000.000","4 KT - 2 KM - 200 m2","Cilandak, Jakarta Selatan"
"Rp 875.000.000","2 KT - 2 KM - 55 m2","Grogol Petamburan, Jakarta Barat"
"Rp 2.200.000.000","7 KT - 2 KM - 100 m2","Pancoran, Jakarta Selatan"
"Rp 10.000.000.000","6 KT - 5 KM - 500 m2","Kelapa Gading, Jakarta Utara"
"Rp 10.500.000.000","3 KT - 3 KM - 200 m2","Cibubur, Jakarta Timur"
"Rp 1.800.000.000","3 KT - 2 KM - 90 m2","Cengkareng, Jakarta Barat"
"Rp 3.400.000.000","7 KT - 4 KM - 340 m2","Cilandak, Jakarta Selatan"
"Rp 870.000.000","3 KT - 2 KM - 95 m2","Senen, Jakarta Pusat"
"Rp 650.000.000","2 KT - 1 KM - 78 m2","Tebet, Jakarta Selatan"
"Rp 5.500.000.000","3 KT - 3 KM - 144 m2","Cengkareng, Jakarta Barat"
"Rp 10.500.000.000","3 KT - 3 KM - 200 m2","Jagakarsa, Jakarta Selatan"
"Rp 3.500.000.000","3 KT - 2 KM - 300 m2","Pesanggrahan, Jakarta Selatan"
"Rp 2.650.000.000","4 KT - 5 KM - 200 m2","Cibubur, Jakarta Timur"
"Rp 1.980.000.003","3 KT - 3 KM - 119 m2","Pesanggrahan, Jakarta Selatan"
"Rp 1.920.000.005","4 KT - 3 KM - 104 m2","Pesanggrahan, Jakarta Selatan"
"Rp 2.225.000.000","4 KT - 3 KM - 157 m2","Cibubur, Jakarta Timur"
"Rp 4.000.000.000","5 KT - 4 KM - 147 m2","Kalideres, Jakarta Barat"
"Rp 5.500.000.000","4 KT - 2 KM - 116 m2","Kalideres, Jakarta Barat"
"Rp 6.784.000.000","5 KT - 5 KM - 196 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 5.707.000.000","4 KT - 4 KM - 183 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 17.000.000.000","5 KT - 4 KM - 300 m2","Kebayoran Lama, Jakarta Selatan"
"Rp 8.691.000.000","5 KT - 5 KM - 289 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 10.990.000.000","5 KT - 5 KM - 374 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 1.800.000.000","3 KT - 2 KM - 90 m2","Cengkareng, Jakarta Barat"
"Rp 2.500.000.000","5 KT - 2 KM - 58 m2","Sawah Besar, Jakarta Pusat"
"Rp 5.500.000.000","3 KT - 2 KM - 315 m2","Kalideres, Jakarta Barat"
"Rp 18.000.000.001","9 KT - 5 KM - 265 m2","Palmerah, Jakarta Barat"
"Rp 680.000.000","2 KT - 1 KM - 52 m2","Kebayoran Lama, Jakarta Selatan"
"Rp 3.200.000.000","6 KT - 4 KM - 250 m2","Menteng, Jakarta Pusat"
"Rp 8.233.137.000","4 KT - 4 KM - 381 m2","Kebayoran Baru, Jakarta Selatan"
"Rp 3.000.000.000","5 KT - 4 KM - 200 m2","Cibubur, Jakarta Timur"
"Rp 300.000.000","1 KT - 1 KM - 33 m2","Matraman, Jakarta Timur"
"Rp 3.150.000.000","5 KT - 4 KM - 418 m2","Cakung, Jakarta Timur"
"Rp 4.500.000.000","5 KT - 4 KM - 229 m2","Cakung, Jakarta Timur"
"Rp 3.400.000.000","4 KT - 3 KM - 138 m2","Cakung, Jakarta Timur"
"Rp 3.800.000.000","5 KT - 4 KM - 181 m2","Cakung, Jakarta Timur"
"Rp 55.000.000.000","10 KT - 10 KM - 1500 m2","Setia Budi, Jakarta Selatan"
"Rp 975.000.000","3 KT - 2 KM - 95 m2","Cibubur, Jakarta Timur"
"Rp 160.000.000","3 KT - 1 KM - 3 m2","Penjaringan, Jakarta Utara"
"Rp 3.602.800.000","3 KT - 2 KM - 300 m2","Jagakarsa, Jakarta Selatan"
"Rp 3.100.000.000","4 KT - 3 KM - 200 m2","Kelapa Gading, Jakarta Utara"
"Rp 2.000.000.000","3 KT - 2 KM - 140 m2","Cibubur, Jakarta Timur"
"Rp 3.750.000.000","5 KT - 5 KM - 300 m2","Kalideres, Jakarta Barat"
"Rp 5.500.000.000",">10 KT - 7 KM - 275 m2","Setia Budi, Jakarta Selatan"
"Rp 459.000.000","2 KT - 2 KM - 120 m2","Menteng, Jakarta Pusat"
"Rp 2.300.000.000","4 KT - 3 KM - 144 m2","Cibubur, Jakarta Timur"
"Rp 9.500.000.000","6 KT - 6 KM - 400 m2","Kebayoran Lama, Jakarta Selatan"
"Rp 3.050.000.000","3 KT - 3 KM - 128 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 985.000.000","2 KT - 1 KM - 96 m2","Cibubur, Jakarta Timur"
"Rp 2.600.000.000","5 KT - 4 KM - 200 m2","Pulo Gadung, Jakarta Timur"
"Rp 3.800.000.000","3 KT - 2 KM - 150 m2","Kebayoran Lama, Jakarta Selatan"
"Rp 2.700.000.000","4 KT - 3 KM - 108 m2","Cakung, Jakarta Timur"
"Rp 2.000.000.000","3 KT - 2 KM - 88 m2","Gambir, Jakarta Pusat"
"Rp 175.000.003","2 KT - 1 KM - 30 m2","Palmerah, Jakarta Barat"
"Rp 885.000.000","2 KT - 1 KM - 98 m2","Tambora, Jakarta Barat"
"Rp 5.400.000.000","3 KT - 3 KM - 262 m2","Kemang, Jakarta Selatan"
"Rp 650.000.000","3 KT - 1 KM - 58 m2","Cempaka Putih, Jakarta Pusat"
"Rp 2.300.000.000","4 KT - 3 KM - 118 m2","Pasar Rebo, Jakarta Timur"
"Rp 2.700.000.000","4 KT - 3 KM - 180 m2","Pasar Minggu, Jakarta Selatan"
"Rp 1.650.000.000","3 KT - 2 KM - 120 m2","Tanjung Barat, Jakarta Selatan"
"Rp 5.000.000.000","8 KT - 2 KM - 297 m2","Cilangkap, Jakarta Timur"
"Rp 6.600.000.000","3 KT - 3 KM - 250 m2","Pulo Gadung, Jakarta Timur"
"Rp 3.000.000.000","4 KT - 4 KM - 196 m2","Kalideres, Jakarta Barat"
"Rp 3.300.000.000","4 KT - 3 KM - 8 m2","Koja, Jakarta Utara"
"Rp 5.100.000.000","4 KT - 4 KM - 210 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 6.500.000.000","3 KT - 3 KM - 223 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 2.600.000.000","4 KT - 3 KM - 150 m2","Penjaringan, Jakarta Utara"
